battery_voltage	64.00
battery_capacity_ah	30.00
battery_capacity_coulomb	108000.00
shunt_voltage	0.00


===================
SHUNT_RESISTANCE	0.00
SHUNT_MULTIPLIER	0.01
BATTERY_CAPACITY_AH	30.00
BATTERY_CAPACITY_COULOMB	108000.00
battery_capacity_milli_coulomb	54000000


===================
Success ADS
Success to initialize ADS.
dt_ms	2748.00
last_read_micros	4372496
current_read_micros	4375244
shunt_voltage	-0.25
calculte_coulombs_transffred	-0.1374000072
calculte_milli_coulombs_transffred	-21984.0019531250
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	54000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	50000.00000
% batA	0.00000
% batB	0.00000
% batC	-11.60714

dt_ms	39008.00
last_read_micros	4375244
current_read_micros	4414252
shunt_voltage	-0.25
calculte_coulombs_transffred	-1.9503999710
calculte_milli_coulombs_transffred	-312064.0000000000
battery_capacity_coulomb	53978.0156250000
battery_capacity_milli_coulomb	53978016
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.27329
% bat	49979.64453
% batA	0.00000
% batB	-100.00000
% batC	-164.95535

dt_ms	42164.00
last_read_micros	4414252
current_read_micros	4456416
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1082000732
calculte_milli_coulombs_transffred	-337312.0312500000
battery_capacity_coulomb	53993.6328125000
battery_capacity_milli_coulomb	53993632
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.22751
% bat	49994.10156
% batA	0.00000
% batB	0.00000
% batC	-56.02679

dt_ms	41816.00
last_read_micros	4456416
current_read_micros	4498232
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0908000469
calculte_milli_coulombs_transffred	-334528.0312500000
battery_capacity_coulomb	53984.0000000000
battery_capacity_milli_coulomb	53984000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.25498
% bat	49985.18359
% batA	0.00000
% batB	-100.00000
% batC	-123.21429

dt_ms	42168.00
last_read_micros	4498232
current_read_micros	4540400
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1084001064
calculte_milli_coulombs_transffred	-337344.0312500000
battery_capacity_coulomb	53977.1523437500
battery_capacity_milli_coulomb	53977152
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.27634
% bat	49978.84375
% batA	0.00000
% batB	-100.00000
% batC	-170.98214

dt_ms	42168.00
last_read_micros	4540400
current_read_micros	4582568
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1084001064
calculte_milli_coulombs_transffred	-337344.0312500000
battery_capacity_coulomb	53967.4882812500
battery_capacity_milli_coulomb	53967488
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.30686
% bat	49969.89453
% batA	0.00000
% batB	200.00000
% batC	218.75000

dt_ms	41988.00
last_read_micros	4582568
current_read_micros	4624556
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0994000434
calculte_milli_coulombs_transffred	-335904.0312500000
